"Qty";"Value";"Device";"Package";"Parts";"Description";"CENTROID_NOT_SPECIFIED";"DATASHEET";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"LEAD_FREE";"MANUFACTURER";"MF";"MFG_PACKAGE_IDENT";"MOUSER_PART_NUMBER";"MPN";"PACKAGE";"PART_REV";"PREFIX";"PROD_ID";"ROHS";"SF_SKU";"SPICEMODEL";"SPICEPREFIX";"STANDARD";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VALUE";"VOLTAGE";
"3";"";"DIODE_E-";"DIODE_SMB";"D1, D2, D3";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"diode";"D";"";"";"";"";"";
"1";"";"TRIM_US-ECP10S";"ECP10S";"LFT_PADDLE";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"XTAL/S";"QS";"Q1";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.1uF";"C-USC0805";"C0805";"C7";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.0K";"R-US_R0805";"R0805";"R46";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.5k";"R-US_M0805";"M0805";"R32";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1.87M";"R-US_R0805";"R0805";"R38, R41";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100K";"R-US_R0805";"R0805";"R43, R47";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"100nF";"C-USC0805";"C0805";"C3, C11, C14, C15, C16, C17, C18";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10k";"R-US_M0805";"M0805";"R14, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10nF";"C-USC0805";"C0805";"C10";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10uF";"C-USC1210";"C1210";"C5, C9, C21";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uf";"C-USC0805";"C0805";"C22";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"110k";"R-US_M0805";"M0805";"R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"150";"R-US_M0805";"M0805";"R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"150K";"R-US_M0805";"M0805";"R29";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"15K";"R-US_M0805";"M0805";"R28";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"15K";"R-US_R0805";"R0805";"THERM";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"18";"R-US_M0805";"M0805";"R24";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"18k";"R-US_M0805";"M0805";"R26";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
