"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";"SPICEMODEL";"SPICEPREFIX";"VALUE";
"AUDIO";"TOBU3";"TOBU3";"TOBU3";"Female Cinch CONNECTOR ( RCA Jack )";"FARNELL";"TOBU 3";"592791";"06WX5914";"";"";"";"";"";
"BRT_ADJ";"500k";"TRIM_US-3223G";"3223G";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";
"C1";"47pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C2";"22pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C3";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C4";"470pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C5";"470pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C6";"68nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C7";"68nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C8";"68nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C9";"68nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C10";"10nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C11";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C12";"1F";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C13";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C14";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C15";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C16";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C17";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C18";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C19";"47Pf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C20";"47Pf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C21";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"COLOR_ADJ";"500k";"TRIM_US-3223G";"3223G";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";
"D1";"";"DIODE_E-";"DIODE_SMB";"Schottky Diode";"";"";"";"";"";"";"diode";"D";"";
"D2";"";"DIODE_E-";"DIODE_SMB";"Schottky Diode";"";"";"";"";"";"";"diode";"D";"";
"D3";"";"DIODE_E-";"DIODE_SMB";"Schottky Diode";"";"";"";"";"";"";"diode";"D";"";
"IC1";"74LS00D";"74LS00D";"SO14";"Quad 2-input NAND gate";"";"";"";"";"";"";"";"";"";
"JOY_LFT";"";"F09HP";"F09HP";"SUB-D";"";"";"unknown";"unknown";"";"";"";"";"";
"JOY_RGT";"";"F09HP";"F09HP";"SUB-D";"";"";"unknown";"unknown";"";"";"";"";"";
"JP1";"COLOR/BW";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";
"JP2";"CPU_RES";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";
"Q1";"";"XTAL/S";"QS";"CRYSTAL";"";"";"";"";"";"";"";"";"";
"R1";"3.3k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R2";"3.3k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R3";"3.3k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R4";"3.3k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R5";"1k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R6";"27k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
